"sector","years","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"agriculture",2063,"global","crover","gfdl-esm4","ssp126","wheat",7.43513804231399
"agriculture",2063,"global","crover","gfdl-esm4","ssp126","soybean",13.4282809913947
"agriculture",2063,"global","crover","gfdl-esm4","ssp126","rice",2.82978825478579
"agriculture",2064,"global","crover","gfdl-esm4","ssp126","maize",-0.722093624168117
"agriculture",2064,"global","crover","gfdl-esm4","ssp126","wheat",7.66535832081641
"agriculture",2064,"global","crover","gfdl-esm4","ssp126","soybean",18.5753331190235
"agriculture",2064,"global","crover","gfdl-esm4","ssp126","rice",3.53174047725061
"agriculture",2065,"global","crover","gfdl-esm4","ssp126","maize",0.620150898264077
"agriculture",2065,"global","crover","gfdl-esm4","ssp126","wheat",5.43895449717488
"agriculture",2065,"global","crover","gfdl-esm4","ssp126","soybean",19.408140458786
"agriculture",2065,"global","crover","gfdl-esm4","ssp126","rice",1.86716893317141
"agriculture",2066,"global","crover","gfdl-esm4","ssp126","maize",-0.704536134380591
"agriculture",2066,"global","crover","gfdl-esm4","ssp126","wheat",4.07539606011977
"agriculture",2066,"global","crover","gfdl-esm4","ssp126","soybean",13.8663742760519
"agriculture",2066,"global","crover","gfdl-esm4","ssp126","rice",3.32422286644915
