"regions","climates","spans","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
"Eritrea","gfdl-esm4 ssp126","shock_0.25",1,0.400698292301412,0,30
"Eritrea","gfdl-esm4 ssp585","shock_0.25",1,0.863557033628396,0.295116643436922,30
"Eritrea","ipsl-cm6a-lr ssp126","shock_0.25",1,0.4052670203956,0.00151530299999991,30
"Eritrea","ipsl-cm6a-lr ssp585","shock_0.25",1,0.0995259956959997,0,30
"Estonia","gfdl-esm4 ssp126","shock_0.25",1,0.506327160871531,0.0406451263217293,30
"Estonia","gfdl-esm4 ssp585","shock_0.25",0.996762159864322,0.285843189878626,0.0034718749999999,30
"Estonia","ipsl-cm6a-lr ssp126","shock_0.25",1,0.664940464928709,0.0929659297499996,30
"Estonia","ipsl-cm6a-lr ssp585","shock_0.25",1,0.551661561016916,0.0234213832750091,30
"Ethiopia","gfdl-esm4 ssp126","shock_0.25",0.99605421028307,0.397176645519623,0.0383340389807845,30
"Ethiopia","gfdl-esm4 ssp585","shock_0.25",1,0.707897171445184,0.109533315347019,30
"Ethiopia","ipsl-cm6a-lr ssp126","shock_0.25",1,0.636914196727511,0.133081345343101,30
"Ethiopia","ipsl-cm6a-lr ssp585","shock_0.25",1,0.926447736700722,0.238294998424791,30
"Federal Republic of Somalia","gfdl-esm4 ssp126","shock_0.25",0.998122373151257,0.492396408132098,0.0357733523187589,30
"Federal Republic of Somalia","gfdl-esm4 ssp585","shock_0.25",1,0.50150069171455,0.0246227165546,30
"Federal Republic of Somalia","ipsl-cm6a-lr ssp126","shock_0.25",1,0.779923361721586,0.118631132659007,30
"Federal Republic of Somalia","ipsl-cm6a-lr ssp585","shock_0.25",1,0.522739042370631,0.0214013771650851,30
"Fiji","gfdl-esm4 ssp126","shock_0.25",0.4,0,NA,30
"Fiji","gfdl-esm4 ssp585","shock_0.25",1,0,NA,30
"Fiji","ipsl-cm6a-lr ssp126","shock_0.25",1,0.0333399999999998,NA,30
"Fiji","ipsl-cm6a-lr ssp585","shock_0.25",0.97942798320989,0,NA,30
"Finland","gfdl-esm4 ssp126","shock_0.25",0.991430528780389,0.156079962331868,1.11022302462516e-16,30
"Finland","gfdl-esm4 ssp585","shock_0.25",0.992337091943118,0.1706808444588,0,30
"Finland","ipsl-cm6a-lr ssp126","shock_0.25",0.996011402693754,0.175724527710137,0.00275399457299996,30
"Finland","ipsl-cm6a-lr ssp585","shock_0.25",0.993772128134679,0.09560634833151,0,30
"France","gfdl-esm4 ssp126","shock_0.25",1,0.932386495805115,0.349357778837023,30
"France","gfdl-esm4 ssp585","shock_0.25",1,0.855895531494887,0.176004172339291,30
"France","ipsl-cm6a-lr ssp126","shock_0.25",0.999369391466264,0.544071106999518,0.0204554364003434,30
"France","ipsl-cm6a-lr ssp585","shock_0.25",1,0.959178908755278,0.406565482018998,30
"Gabon","gfdl-esm4 ssp126","shock_0.25",0.99993318137629,0.882891469254767,0.414591858688977,30
"Gabon","gfdl-esm4 ssp585","shock_0.25",1,0.752581485293354,0.042343887177815,30
"Gabon","ipsl-cm6a-lr ssp126","shock_0.25",1,0.545281157836296,0.0386970653886396,30
"Gabon","ipsl-cm6a-lr ssp585","shock_0.25",1,0.449881541245177,0.0231664832405878,30
"Gambia","gfdl-esm4 ssp126","shock_0.25",0.983848073122985,0.311544785617877,0.0403959599999999,30
"Gambia","gfdl-esm4 ssp585","shock_0.25",0.987596156102024,0.239226867559335,-2.22044604925031e-16,30
"Gambia","ipsl-cm6a-lr ssp126","shock_0.25",1,0.646717900042669,0.0525224501911705,30
"Gambia","ipsl-cm6a-lr ssp585","shock_0.25",1,0.509755312616361,0.0300929908019597,30
"Georgia","gfdl-esm4 ssp126","shock_0.25",0.999761428851015,0.38819084144305,0.0607434709999999,30
"Georgia","gfdl-esm4 ssp585","shock_0.25",1,0.258999285950176,0.00826280999999995,30
"Georgia","ipsl-cm6a-lr ssp126","shock_0.25",1,0.181255785541866,0.00165256199999975,30
"Georgia","ipsl-cm6a-lr ssp585","shock_0.25",0.999917245408553,0.662516461631135,0.0469535111787227,30
"Germany","gfdl-esm4 ssp126","shock_0.25",0.999077988724996,0.405050133476691,0.00599999999999978,30
"Germany","gfdl-esm4 ssp585","shock_0.25",0.99999782822713,0.74696125529079,0.106670536259494,30
"Germany","ipsl-cm6a-lr ssp126","shock_0.25",1,0.493659701483015,0.0535947076023996,30
"Germany","ipsl-cm6a-lr ssp585","shock_0.25",1,0.709051344772599,0.162418311995922,30
"Ghana","gfdl-esm4 ssp126","shock_0.25",0.958270495421628,0.0600839920048994,0,30
"Ghana","gfdl-esm4 ssp585","shock_0.25",0.999352699421082,0.556920282326009,0.0646335359999998,30
"Ghana","ipsl-cm6a-lr ssp126","shock_0.25",1,0.68669551475237,0.0917306057024683,30
"Ghana","ipsl-cm6a-lr ssp585","shock_0.25",1,0.484458757182775,0.0100745124962351,30
"Grand Duchy of Luxembourg","gfdl-esm4 ssp126","shock_0.25",0.959865453484768,0.0964111186812642,0,30
"Grand Duchy of Luxembourg","gfdl-esm4 ssp585","shock_0.25",0.999564636162613,0.292188100973445,0.00727200000000006,30
"Grand Duchy of Luxembourg","ipsl-cm6a-lr ssp126","shock_0.25",1,0.2099876032,-4.44089209850063e-16,30
"Grand Duchy of Luxembourg","ipsl-cm6a-lr ssp585","shock_0.25",0.99873345503554,0.142509808997034,0.00363269487599993,30
"Greece","gfdl-esm4 ssp126","shock_0.25",0.999959013103299,0.675340373481421,0.0329003538031039,30
