"regions","climates","spans","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down","at_least_two_shocks_up","at_least_three_shocks_up"
"Poland","gfdl-esm4 ssp126","0.75",0.799871033849082,0.13911182836858,30,0.150252496696,0.5748472,1,0.0099999999999999,0
"Poland","gfdl-esm4 ssp585","0.75",0.250146010590623,0.00635804231399983,30,0.196720265649852,0.873953004952424,0.995655271014707,0.0806139828909999,0.00249999999999995
"Poland","ipsl-cm6a-lr ssp126","0.75",0.32351870076472,0,30,0.139424546,0.4600216,1,0,0
"Poland","ipsl-cm6a-lr ssp585","0.75",0.262950559612552,0.00876638336937674,30,0.514044052091223,0.950205758877514,1,0.127323805987219,0.00363269487599982
"Portugal","gfdl-esm4 ssp126","0.75",0.0100989899999999,0,30,0.0182783539644381,0.991398202193555,0.72120492993963,0.191139431624563,0.0055079891459997
"Portugal","gfdl-esm4 ssp585","0.75",0.251536197084481,0.02019798,30,0.430026641974223,0.995467552718746,1,0.258925282427002,0.0255946275880715
"Portugal","ipsl-cm6a-lr ssp126","0.75",0.416042944080201,0,30,0.262319104015197,0.906015374082014,0.987759736482179,0.05555,0
"Portugal","ipsl-cm6a-lr ssp585","0.75",0.85585803382,0.38572194809,30,0.0410409538836156,0.999680989043675,0.996748476850281,0.7498948907904,0.016463291549135
"Qatar","gfdl-esm4 ssp126","0.75",0,NA,30,0,1,0.4,0,NA
"Qatar","gfdl-esm4 ssp585","0.75",0,NA,30,0.28,0.859375,0.976,0,NA
"Qatar","ipsl-cm6a-lr ssp126","0.75",0,NA,30,0.10002,0.30561111,0.872,0,NA
"Qatar","ipsl-cm6a-lr ssp585","0.75",0.0333399999999998,NA,30,0.26664,0.691351853055568,0.996914074044445,0,NA
"Republic of the Congo","gfdl-esm4 ssp126","0.75",0.201239820096636,-2.22044604925031e-16,30,0.366590873704143,0.963762271745176,0.9986963367519,0.132053198148147,0
"Republic of the Congo","gfdl-esm4 ssp585","0.75",0.116270730695338,0.00224399557799992,30,0.2323858182076,0.951523433532812,0.975741964893992,0.0321911513713022,-2.22044604925031e-16
"Republic of the Congo","ipsl-cm6a-lr ssp126","0.75",0.312391956323125,0.0120983900801959,30,0.296778360462596,0.947281355032517,1,0.0501153293371799,-2.22044604925031e-16
"Republic of the Congo","ipsl-cm6a-lr ssp585","0.75",0.203364135593524,0.00987456799999986,30,0.0430664673178716,0.991325176145686,1,0.16605454343642,0
"Romania","gfdl-esm4 ssp126","0.75",0.966245824014108,0.556102123662631,30,0.411348163119709,0.929725436043317,0.999994114098931,0.220151839718231,0.0128916920707518
"Romania","gfdl-esm4 ssp585","0.75",0.225728272714005,0.00373682829999999,30,0.30773041290747,0.985852816302625,1,0.305550049006129,0.022725
"Romania","ipsl-cm6a-lr ssp126","0.75",0.449147912581495,0.0475003200972524,30,0.0878214145138182,0.759019711726886,0.993240370226823,0.03881531818,0.00111099999999997
"Romania","ipsl-cm6a-lr ssp585","0.75",0.331362289333424,0.0260931173242004,30,0.417477674283274,0.983454469264265,0.998715252971209,0.180355506686269,0.00615488501105488
"Russia","gfdl-esm4 ssp126","0.75",0.0853567869429842,0,30,0.0919823885806866,0.951924790379097,0.987271864054184,0.224363060510043,0.00860851829878795
"Russia","gfdl-esm4 ssp585","0.75",0.973759875955877,0.654499868537671,30,0.268500431621835,0.94580262860948,1,0.0608047473238703,0.000826280999999929
"Russia","ipsl-cm6a-lr ssp126","0.75",0.333473734854515,0.00431207610557338,30,0.412153520305999,0.987610491310835,1,0.280397911401912,0.0140031086998743
